match_date,season,league,home_team,away_team,home_goals,away_goals,result_source,result_source_url,result_verified,o25,u25,o35,u35,market_source,market_provider,market_source_url,market_source_match_date,quote_type,market_observed_at
2026-02-21,2026,MLS,St. Louis City,Charlotte,1,1,St. Louis CITY SC,https://www.stlcitysc.com/news/match-report-st-louis-city-sc-begins-2026-mls-regular-season-earning-a-point-against-charlotte-fc-at-energizer-park,true,1.75,,2.82,1.45,Footiqo,1xBet,https://footiqo.com/database/leagues/usa-mls/,2026-02-21,CLOSING,
2026-02-21,2026,MLS,FC Cincinnati,Atlanta Utd,2,0,FC Cincinnati,https://www.fccincinnati.com/news/recap-fc-cincinnati-2-atlanta-united-fc-0,true,1.75,,2.57,1.40,Footiqo,1xBet,https://footiqo.com/database/leagues/usa-mls/,2026-02-21,CLOSING,
2026-02-21,2026,MLS,DC United,Philadelphia Union,1,0,DC United,https://www.dcunited.com/news/post-match-facts-dcvphl,true,2.32,,4.05,1.25,Footiqo,1xBet,https://footiqo.com/database/leagues/usa-mls/,2026-02-22,CLOSING,
2026-02-21,2026,MLS,Orlando City,New York Red Bulls,1,2,New York Red Bulls,https://www.newyorkredbulls.com/news/match-recap-pres-by-provident-bank-rbny-start-season-with-2-1-victory-over-orlando-city-sc,true,1.66,,2.53,1.54,Footiqo,1xBet,https://footiqo.com/database/leagues/usa-mls/,2026-02-22,CLOSING,
2026-02-21,2026,MLS,Vancouver Whitecaps,Real Salt Lake,1,0,Vancouver Whitecaps FC,https://www.whitecapsfc.com/news/2026-mls-opening-win,true,1.46,,2.21,1.73,Footiqo,1xBet,https://footiqo.com/database/leagues/usa-mls/,2026-02-22,CLOSING,
2026-02-21,2026,MLS,Austin FC,Minnesota United,2,2,Austin FC,https://www.austinfc.com/news/austin-fc-draws-minnesota-in-club-s-2026-home-opener,true,2.06,,3.37,1.34,Footiqo,1xBet,https://footiqo.com/database/leagues/usa-mls/,2026-02-22,CLOSING,
